"id";"sku";"name";"supplier"
"300245";"615161YC8944569";"Denim shorts";"Wise Boutique"
"300241";"614272YBRS21068";" cotton t-shirt";"Wise Boutique"
"300097";"622720Q1AN49004";"ALEXANDER MCQUEEN MAGLIERIA";"Wise Boutique"
"300005";"ZAPKEN601473–KENZO–73";"ZAPKEN601473 – KENZO – 73";"Veritas"
"300004";"ZAPKEN601399–KENZO–99";"ZAPKEN601399 – KENZO – 99";"Veritas"
"300003";"ZAPKEN601160–KENZO–60";"ZAPKEN601160 – KENZO – 60";"Veritas"
"300002";"ZAPKEN601099–KENZO–99";"ZAPKEN601099 – KENZO – 99";"Veritas"
"300001";"VESKEN606199–KENZO–99";"VESKEN606199 – KENZO – 99";"Veritas"
"300000";"VESKEN606101–KENZO–01";"VESKEN606101 – KENZO – 01";"Veritas"
"299999";"VESKEN6059MU–KENZO–MU";"VESKEN6059MU – KENZO – MU";"Veritas"
"299998";"VESKEN605801–KENZO–01";"VESKEN605801 – KENZO – 01";"Veritas"
"299997";"VESKEN605799–KENZO–99";"VESKEN605799 – KENZO – 99";"Veritas"
"299996";"VESKEN605766–KENZO–66";"VESKEN605766 – KENZO – 66";"Veritas"
"299995";"VESKEN605401–KENZO–01";"VESKEN605401 – KENZO – 01";"Veritas"
"299994";"PANKEN603577–KENZO–77";"PANKEN603577 – KENZO – 77";"Veritas"
"299993";"PANKEN603402–KENZO–02";"PANKEN603402 – KENZO – 02";"Veritas"
"299992";"PANKEN603380–KENZO–80";"PANKEN603380 – KENZO – 80";"Veritas"
"299991";"NIKKEN603765–KENZO–65";"NIKKEN603765 – KENZO – 65";"Veritas"
"299990";"NIKKEN603734–KENZO–34";"NIKKEN603734 – KENZO – 34";"Veritas"
"299989";"NIKKEN603701–KENZO–01";"NIKKEN603701 – KENZO – 01";"Veritas"
"299988";"NIKKEN603627–KENZO–27";"NIKKEN603627 – KENZO – 27";"Veritas"
"299987";"NIKKEN603601–KENZO–01";"NIKKEN603601 – KENZO – 01";"Veritas"
"299986";"NIKKEN603501–KENZO–01";"NIKKEN603501 – KENZO – 01";"Veritas"
"299985";"NIKKEN603466–KENZO–66";"NIKKEN603466 – KENZO – 66";"Veritas"
"299984";"NIKKEN603365–KENZO–65";"NIKKEN603365 – KENZO – 65";"Veritas"
"299983";"NIKKEN603334–KENZO–34";"NIKKEN603334 – KENZO – 34";"Veritas"
"299982";"NIKKEN603301–KENZO–01";"NIKKEN603301 – KENZO – 01";"Veritas"
"299981";"NIKKEN603099–KENZO–99";"NIKKEN603099 – KENZO – 99";"Veritas"
"299980";"NIKKEN603066–KENZO–66";"NIKKEN603066 – KENZO – 66";"Veritas"
"299979";"NIKKEN603001–KENZO–01";"NIKKEN603001 – KENZO – 01";"Veritas"
"299978";"NIKKEN602960–KENZO60";"NIKKEN602960 – KENZO -60";"Veritas"
"299977";"NIKKEN602903–KENZO–03";"NIKKEN602903 – KENZO – 03";"Veritas"
"299976";"NIKKEN602899–KENZO–99";"NIKKEN602899 – KENZO – 99";"Veritas"
"299975";"NIKKEN602834–KENZO–34";"NIKKEN602834 – KENZO – 34";"Veritas"
"299974";"JERKEN604432–KENZO–32";"JERKEN604432 – KENZO – 32";"Veritas"
"299973";"JERKEN604360–KENZO–60";"JERKEN604360 – KENZO – 60";"Veritas"
"299972";"JERKEN604234–KENZO–34";"JERKEN604234 – KENZO – 34";"Veritas"
"299971";"JERKEN604203–KENZO–03";"JERKEN604203 – KENZO – 03";"Veritas"
"299970";"JERKEN604166–KENZO–66";"JERKEN604166 – KENZO – 66";"Veritas"
"299969";"JERKEN604066–KENZO–66";"JERKEN604066 – KENZO – 66";"Veritas"
"299968";"JERKEN604034–KENZO–34";"JERKEN604034 – KENZO – 34";"Veritas"
"299967";"JERKEN6038MU–KENZO–MU";"JERKEN6038MU – KENZO – MU";"Veritas"
"299966";"JERKEN603703–KENZO–03";"JERKEN603703 – KENZO – 03";"Veritas"
"299965";"JERKEN603699–KENZO–99";"JERKEN603699 – KENZO – 99";"Veritas"
"299964";"JERKEN603503–KENZO–03";"JERKEN603503 – KENZO – 03";"Veritas"
"299963";"JERKEN603499–KENZO–99";"JERKEN603499 – KENZO – 99";"Veritas"
"299962";"JERKEN603403–KENZO–03";"JERKEN603403 – KENZO – 03";"Veritas"
"299961";"JERKEN603302–KENZO–02";"JERKEN603302 – KENZO – 02";"Veritas"
"299960";"GABKEN600399–KENZO–99";"GABKEN600399 – KENZO – 99";"Veritas"
"299959";"FALKEN6020MU–KENZO–MU";"FALKEN6020MU – KENZO – MU";"Veritas"
"299958";"FALKEN601999–KENZO–99";"FALKEN601999 – KENZO – 99";"Veritas"
"299957";"FALKEN601873KENZO–73";"FALKEN601873 -KENZO – 73";"Veritas"
"299956";"FALKEN601734–KENZO–34";"FALKEN601734 – KENZO – 34";"Veritas"
"299955";"FALKEN601699–KENZO–99";"FALKEN601699 – KENZO – 99";"Veritas"
"299954";"FALKEN601501–KENZO–01";"FALKEN601501 – KENZO – 01";"Veritas"
"299953";"CHAKEN600521–KENZO–21";"CHAKEN600521 – KENZO – 21";"Veritas"
"299952";"CHAKEN600502–KENZO–02";"CHAKEN600502 – KENZO – 02";"Veritas"
"299951";"CAZKEN600473–KENZO–73";"CAZKEN600473 – KENZO – 73";"Veritas"
"299950";"CAZKEN600334–KENZO–34";"CAZKEN600334 – KENZO – 34";"Veritas"
"299949";"CAZKEN600202–KENZO–02";"CAZKEN600202 – KENZO – 02";"Veritas"
"299948";"CARKEN601765–KENZO–65";"CARKEN601765 – KENZO – 65";"Veritas"
"299947";"CARKEN601602–KENZO–02";"CARKEN601602 – KENZO – 02";"Veritas"
"299946";"CARKEN601577–KENZO–77";"CARKEN601577 – KENZO – 77";"Veritas"
"299945";"CAMKEN603573–KENZO–73";"CAMKEN603573 – KENZO – 73";"Veritas"
"299944";"CAMKEN603480–KENZO–80";"CAMKEN603480 – KENZO – 80";"Veritas"
"299943";"BUFKEN601999–KENZO–99";"BUFKEN601999 – KENZO – 99";"Veritas"
"299942";"BUFKEN601921–KENZO–21";"BUFKEN601921 – KENZO – 21";"Veritas"
"299941";"BUFKEN601899–KENZO–99";"BUFKEN601899 – KENZO – 99";"Veritas"
"299940";"BOLKEN602234–KENZO–34";"BOLKEN602234 – KENZO – 34";"Veritas"
"299939";"BOLKEN602203–KENZO–03";"BOLKEN602203 – KENZO – 03";"Veritas"
"299938";"BOLKEN602134–KENZO–34";"BOLKEN602134 – KENZO – 34";"Veritas"
"299937";"BOLKEN602103–KENZO–03";"BOLKEN602103 – KENZO – 03";"Veritas"
"299936";"BOLKEN602099–KENZO–99";"BOLKEN602099 – KENZO – 99";"Veritas"
"299935";"BOLKEN601976–KENZO–76";"BOLKEN601976 – KENZO – 76";"Veritas"
"299933";"BOLKEN601876–KENZO–76";"BOLKEN601876 – KENZO – 76";"Veritas"
"299934";"BOLKEN601927–KENZO–27";"BOLKEN601927 – KENZO – 27";"Veritas"
"298606";"QuickSell2012008";"QUICKSELL";"G & B"
